crawlProgress,crawlProgressWithSpread,crawlSuccessProgress,day0,day1,day2,day3,day4,day5,domainDealerId,domainDealerLogo,domainDealerName,storeCount,storeCountWithSpread,storeFailedCount,storeInDeltaCount,storeToCrawl,successCount
,,,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}",4,logo-monoprix.png,Monoprix,,,0,0,,0
,,,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}",13,logo-cora.png,Cora,,,0,0,,0
,,,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}",20,logo-casino.png,Casino,,,0,0,,0
0,,0,"{'successCount': 0, 'successPercent': 0}","{'domainDealerId': 46, 'successCount': 2, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 46, 'successCount': 2, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 46, 'successCount': 2, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 46, 'successCount': 2, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 46, 'successCount': 1, 'failedCount': 1, 'successPercent': 50, 'progress': 100}",46,logo-naturalia.png,Naturalia,2,,0,0,2,0
97,,0,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}",49,logo-franprix.png,Franprix,116,,113,0,3,0
,,,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}",61,logo-autre-enseigne.png,Autre enseigne,,,0,0,,0
,,,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}",76,logo-auchan_bi1.png,Auchan Bi1,,,0,0,,0
100,,0,"{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'successCount': 0, 'successPercent': 0}","{'domainDealerId': 78, 'successCount': 141, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",78,logo-bmstores.png,Bmstores,141,,0,141,0,0
31,,29,"{'domainDealerId': 79, 'successCount': 54, 'failedCount': 3, 'successPercent': 94.74, 'progress': '30.98'}","{'domainDealerId': 79, 'successCount': 184, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 79, 'successCount': 184, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 79, 'successCount': 184, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 79, 'successCount': 184, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 79, 'successCount': 184, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",79,logo-stokomani.png,Stokomani,184,,1,2,127,54
99,,95,"{'domainDealerId': 6, 'successCount': 155, 'failedCount': 6, 'successPercent': 96.27, 'progress': '98.77'}","{'domainDealerId': 6, 'successCount': 155, 'failedCount': 6, 'successPercent': 96.27, 'progress': '98.77'}","{'domainDealerId': 6, 'successCount': 132, 'failedCount': 31, 'successPercent': 80.98, 'progress': 100}","{'domainDealerId': 6, 'successCount': 131, 'failedCount': 32, 'successPercent': 80.37, 'progress': 100}","{'domainDealerId': 6, 'successCount': 155, 'failedCount': 6, 'successPercent': 96.27, 'progress': '98.77'}","{'domainDealerId': 6, 'successCount': 157, 'failedCount': 6, 'successPercent': 96.32, 'progress': 100}",6,logo-auchan.png,Auchan Livraison,163,,6,0,2,155
48,,46,"{'domainDealerId': 55, 'successCount': 67, 'failedCount': 2, 'successPercent': 97.1, 'progress': '47.92'}","{'domainDealerId': 55, 'successCount': 142, 'failedCount': 1, 'successPercent': 99.3, 'progress': '99.31'}","{'domainDealerId': 55, 'successCount': 128, 'failedCount': 3, 'successPercent': 97.71, 'progress': '90.97'}","{'domainDealerId': 55, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': '88.89'}","{'domainDealerId': 55, 'successCount': 140, 'failedCount': 3, 'successPercent': 97.9, 'progress': '99.31'}","{'domainDealerId': 55, 'successCount': 142, 'failedCount': 2, 'successPercent': 98.61, 'progress': 100}",55,logo-monoprix-plus.png,Monoprix plus,144,,2,0,75,67
100,,97,"{'domainDealerId': 62, 'successCount': 73, 'failedCount': 2, 'successPercent': 97.33, 'progress': 100}","{'domainDealerId': 62, 'successCount': 73, 'failedCount': 2, 'successPercent': 97.33, 'progress': 100}","{'domainDealerId': 62, 'successCount': 73, 'failedCount': 2, 'successPercent': 97.33, 'progress': 100}","{'domainDealerId': 62, 'successCount': 73, 'failedCount': 2, 'successPercent': 97.33, 'progress': 100}","{'domainDealerId': 62, 'successCount': 73, 'failedCount': 2, 'successPercent': 97.33, 'progress': 100}","{'domainDealerId': 62, 'successCount': 75, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",62,logo-bi1.png,Bi1 Drive,75,,2,0,0,73
100,,98,"{'domainDealerId': 83, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': 100}","{'domainDealerId': 83, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': 100}","{'domainDealerId': 83, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': 100}","{'domainDealerId': 83, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': 100}","{'domainDealerId': 83, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': 100}","{'domainDealerId': 83, 'successCount': 126, 'failedCount': 2, 'successPercent': 98.44, 'progress': 100}",83,logo_la-vie-claire.png,La Vie Claire,128,,2,0,0,126
100,,98,"{'domainDealerId': 73, 'successCount': 146, 'failedCount': 2, 'successPercent': 98.65, 'progress': 100}","{'domainDealerId': 73, 'successCount': 145, 'failedCount': 3, 'successPercent': 97.97, 'progress': 100}","{'domainDealerId': 73, 'successCount': 142, 'failedCount': 6, 'successPercent': 95.95, 'progress': 100}","{'domainDealerId': 73, 'successCount': 146, 'failedCount': 2, 'successPercent': 98.65, 'progress': 100}","{'domainDealerId': 73, 'successCount': 146, 'failedCount': 2, 'successPercent': 98.65, 'progress': 100}","{'domainDealerId': 73, 'successCount': 145, 'failedCount': 3, 'successPercent': 97.97, 'progress': 100}",73,logo-deliveroo.png,Deliveroo,148,,2,0,0,146
112,,90,"{'domainDealerId': 23, 'successCount': 94, 'failedCount': 1, 'successPercent': 98.95, 'progress': '91.35'}","{'domainDealerId': 23, 'successCount': 104, 'failedCount': 0, 'successPercent': 100, 'progress': 100}","{'domainDealerId': 23, 'successCount': 62, 'failedCount': 42, 'successPercent': 59.62, 'progress': 100}","{'domainDealerId': 23, 'successCount': 66, 'failedCount': 38, 'successPercent': 63.46, 'progress': 100}","{'domainDealerId': 23, 'successCount': 101, 'failedCount': 3, 'successPercent': 97.12, 'progress': 100}","{'domainDealerId': 23, 'successCount': 104, 'failedCount': 0, 'successPercent': 100, 'progress': 100}",23,logo-collectandgo.png,CollectAndGo,104,,3,19,-12,94
100,,99,"{'domainDealerId': 56, 'successCount': 323, 'failedCount': 1, 'successPercent': 99.69, 'progress': 100}","{'domainDealerId': 56, 'successCount': 323, 'failedCount': 1, 'successPercent': 99.69, 'progress': 100}","{'domainDealerId': 56, 'successCount': 323, 'failedCount': 1, 'successPercent': 99.69, 'progress': 100}","{'domainDealerId': 56, 'successCount': 322, 'failedCount': 2, 'successPercent': 99.38, 'progress': 100}","{'domainDealerId': 56, 'successCount': 322, 'failedCount': 2, 'successPercent': 99.38, 'progress': 100}","{'domainDealerId': 56, 'successCount': 323, 'failedCount': 1, 'successPercent': 99.69, 'progress': 100}",56,logo-biocoop.png,Biocoop,324,,1,0,0,323
